material_id,material_name,material_type,strength_kg,weight_g_per_m2,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,cost_kg,water_resistance_score,eco_score
41,Recycled_Aluminum,Metal,500,270,0.15,1.1,45,0.85,0.9,0.15000000000000036
42,Recycled_Steel,Metal,600,350,0.08,1.7,35,1.0,0.95,0.08000000000000042
43,Recycled_Cardboard,Fiber,160,75,0.85,0.25,95,0.18,0.4,0.85
44,Hardboard_Wood,Wood,320,260,0.6,0.6,60,0.55,0.7,0.6000000000000003
45,Paper_Cloth_Fiber,Fiber,140,70,0.92,0.3,90,0.2,0.3,0.9200000000000002
46,Leaf_Plate,Natural,110,60,0.99,0.12,98,0.15,0.3,0.9900000000000001
47,Mango_Board,Natural,200,120,0.8,0.4,75,0.4,0.5,0.8000000000000002
48,Coffee_Husk_Composite,Composite,230,130,0.88,0.35,80,0.3,0.5,0.8800000000000001
49,Banana_Fiber_Sheet,Fiber,170,80,0.96,0.18,89,0.23,0.4,0.96
50,Pine_Resin_Film,Natural,260,95,0.75,0.5,72,0.42,0.5,0.7500000000000002
51,Milk_Protein_Plastic,Plastic,200,85,0.98,0.1,95,0.2,0.3,0.98
52,Seaweed_Film,Natural,150,60,0.99,0.12,97,0.18,0.2,0.9899999999999999
53,Recycled_PET_Bottles,Plastic,420,150,0.35,0.9,65,0.6,0.8,0.3500000000000002
54,Recycled_Paper_Pulp,Fiber,130,65,0.9,0.3,92,0.19,0.4,0.9000000000000001
55,Mushroom_Mycelium_Blocks,Natural,240,120,0.98,0.08,88,0.25,0.4,0.9800000000000001
56,Wood_Chipboard,Wood,350,250,0.65,0.55,70,0.5,0.7,0.6500000000000001
57,Recycled_Rubber_Sheets,Rubber,600,400,0.2,1.4,50,1.1,0.9,0.20000000000000034
58,Corn_Polysaccharide,Plastic,220,95,0.95,0.18,85,0.3,0.4,0.95
59,Cassava_Bioplastic,Plastic,210,90,0.97,0.16,92,0.25,0.3,0.97
60,Recycled_Fabric_Fiber,Textile,160,80,0.9,0.32,88,0.27,0.3,0.9000000000000001
61,Palm_Leaf_Fiber,Natural,140,70,0.98,0.14,96,0.22,0.3,0.9800000000000001
62,Stone_Paper,Composite,300,180,0.4,0.7,65,0.5,0.8,0.40000000000000036
63,Silk_Fiber_Textile,Textile,180,90,0.85,0.3,95,0.32,0.3,0.8500000000000001
64,Clay_Composite,Composite,250,200,0.5,0.6,60,0.6,0.7,0.5000000000000004
65,Coconut_Husk_Molded,Natural,180,100,0.95,0.2,85,0.3,0.4,0.9500000000000001
66,Water_Hyacinth_Fiber,Natural,150,80,0.97,0.15,93,0.22,0.3,0.97
67,Recycled_Nylon,Textile,280,150,0.4,0.9,70,0.6,0.7,0.4000000000000003
68,Recycled_Polyester,Textile,300,160,0.45,0.85,68,0.55,0.7,0.4500000000000003
69,Strawboard_Fiber,Fiber,160,75,0.9,0.28,91,0.21,0.4,0.9000000000000001
70,Areca_Fiber_Panel,Natural,190,90,0.96,0.18,90,0.25,0.4,0.96
71,Waxed_Paper,Fiber,150,65,0.85,0.35,95,0.2,0.7,0.8500000000000001
72,Glass_Fiber_Composite,Composite,500,300,0.2,1.1,55,0.7,0.9,0.20000000000000026
73,Thermocol_Alternative_Starch,Foam,130,70,0.95,0.14,90,0.22,0.3,0.9500000000000001
74,Corn_Husk_Fiber,Natural,140,75,0.98,0.13,97,0.18,0.3,0.9800000000000001
75,Lotus_Stalk_Fiber,Fiber,160,90,0.97,0.2,88,0.22,0.3,0.97
76,Recycled_Tyre_Rubber,Rubber,650,420,0.15,1.6,40,1.2,0.9,0.15000000000000036
77,Clay_Paper,Composite,200,140,0.7,0.5,75,0.4,0.6,0.7000000000000002
78,Mango_Seed_Polymer,Natural,230,110,0.9,0.28,80,0.3,0.4,0.9000000000000001
79,Corn_Kernel_Polymer,Plastic,240,85,0.92,0.25,83,0.28,0.3,0.92
80,Coffee_Ground_Film,Natural,190,70,0.95,0.18,92,0.25,0.3,0.9500000000000001
81,Avocado_Seed_Plastic,Natural,230,95,0.93,0.22,89,0.26,0.4,0.93
82,Recycled_Clayboard,Composite,260,150,0.65,0.55,68,0.45,0.6,0.6500000000000002
83,Recycled_Foam,Foam,250,180,0.3,0.8,55,0.7,0.8,0.30000000000000043
84,Cane_Fiber_Film,Natural,170,85,0.95,0.21,90,0.22,0.3,0.9500000000000001
85,Leaf_Molded_Bowl,Natural,130,60,0.99,0.12,98,0.15,0.3,0.99
86,Sunflower_Stem_Fiber,Natural,150,70,0.97,0.2,95,0.2,0.3,0.9699999999999999
87,Coir_Board,Natural,240,130,0.9,0.33,75,0.35,0.5,0.9000000000000001
88,Ragi_Husk_Fiber,Natural,180,90,0.95,0.21,89,0.25,0.4,0.9500000000000001
89,Chia_Seed_Film,Natural,160,60,0.98,0.12,97,0.15,0.3,0.9800000000000001
90,Neem_Wood_Sheet,Wood,320,260,0.6,0.55,70,0.5,0.6,0.6000000000000002
91,Jowar_Husk_Panel,Natural,200,120,0.92,0.29,85,0.3,0.5,0.9200000000000002
92,Millet_Strawboard,Natural,210,130,0.9,0.3,82,0.32,0.5,0.9000000000000001
93,Cocoa_Husk_Compostable,Natural,180,100,0.96,0.22,90,0.28,0.4,0.96
94,Lupin_Protein_Film,Natural,150,65,0.98,0.12,96,0.2,0.3,0.9800000000000001
95,Peanut_Shell_Plastic,Natural,230,110,0.9,0.3,80,0.32,0.4,0.9000000000000001
96,Recycled_Magazine_Paper,Fiber,120,60,0.88,0.35,92,0.2,0.4,0.8800000000000001
97,Cotton_Waste_Fiber,Fiber,140,70,0.9,0.28,94,0.18,0.4,0.9
98,Lotus_Fiber_Panel,Natural,160,80,0.96,0.2,90,0.25,0.4,0.96
99,Coir_Compostable_Panel,Natural,200,110,0.95,0.25,85,0.3,0.5,0.9500000000000001
100,Sago_Waste_Composite,Composite,240,130,0.88,0.35,78,0.3,0.5,0.8800000000000001
101,Teak_Wood_Lite,Wood,350,270,0.55,0.65,60,0.6,0.7,0.5500000000000003
102,Areca_Biodegradable_Box,Natural,170,90,0.97,0.2,92,0.23,0.4,0.97
103,Banana_Pseudo_Stem_Fiber,Natural,165,85,0.98,0.18,94,0.2,0.4,0.9800000000000001
104,Recycled_Hard_Plastic,Plastic,450,160,0.3,1.0,65,0.55,0.7,0.30000000000000016
105,Recycled_Mixed_Plastics,Plastic,400,150,0.25,1.2,50,0.6,0.8,0.25000000000000033
106,Stone_Composite_Sheet,Composite,320,200,0.45,0.7,60,0.5,0.7,0.4500000000000003
107,Recycled_EPS,Foam,150,100,0.25,1.1,40,0.7,0.8,0.25000000000000067
108,Hybrid_Paper_Polymer,Composite,260,140,0.55,0.6,70,0.5,0.6,0.5500000000000003
109,Corn_Silk_Fiber,Natural,135,65,0.98,0.13,95,0.2,0.3,0.9800000000000001
110,Bio_Wax_Coated_Paper,Natural,160,75,0.9,0.25,90,0.3,0.7,0.9000000000000002
111,Coconut_Shell_Panel,Natural,250,150,0.85,0.4,75,0.35,0.6,0.8500000000000002
112,Recycled_Office_Paper,Fiber,125,60,0.9,0.3,95,0.22,0.4,0.9000000000000001
113,Coconut_Pulp_Sheet,Natural,185,95,0.96,0.28,88,0.3,0.4,0.96
114,Hemp_Molded_Panel,Natural,230,130,0.89,0.35,80,0.33,0.5,0.8900000000000001
115,Soy_Protein_Film,Natural,160,70,0.98,0.13,96,0.18,0.3,0.9800000000000001
116,Recycled_Woven_Fabric,Textile,150,80,0.85,0.32,88,0.28,0.4,0.8500000000000001
117,Pulped_Citrus_Fiber,Natural,155,75,0.97,0.2,94,0.22,0.3,0.97
118,Recycled_Wood_Fiber,Wood,270,180,0.65,0.55,75,0.45,0.6,0.6500000000000001
119,Coffee_Wood_Composite,Composite,260,150,0.7,0.5,70,0.5,0.6,0.7000000000000002
120,Date_Seed_Composite,Natural,210,110,0.9,0.28,85,0.3,0.5,0.9
121,Banana_Peel_Bioplastic,Natural,180,90,0.97,0.18,92,0.24,0.4,0.97
122,Groundnut_Shell_Panel,Natural,240,130,0.9,0.32,80,0.33,0.5,0.9000000000000001
123,Bio_Soy_Plastic,Plastic,260,100,0.92,0.22,78,0.3,0.4,0.9200000000000002
124,Recycled_Craft_Paper,Fiber,140,70,0.88,0.3,96,0.2,0.4,0.88
125,Lotus_Seed_Husk_Fiber,Natural,170,85,0.96,0.19,90,0.25,0.4,0.96
