id,material,weight,cost,co2_emission,recyclable,durability
131,Cotton Fabric HeavyDuty,26.9,7.1,0.64,1,9
132,Hybrid Starch Plastic Composite Medium,13.7,5.8,0.66,1,5
133,Cassava Starch Polymer HeavyDuty,17.2,5.0,0.88,1,9
134,Leaf-Based Polymer Composite,31.3,3.9,0.36,1,8
135,Mango Seed Polymer Composite Large,35.3,5.3,0.9,1,6
136,Algae Fiber Board Premium Small,26.8,5.2,0.57,1,8
137,Hemp Bioplastic Consumer Fiber,21.3,8.0,0.67,1,6
138,Coco-Peat Composite HeavyDuty Large,55.2,10.7,0.91,1,7
139,Organic Resin Foam HeavyDuty Medium,10.0,2.5,2.01,0,7
140,Brewery Waste Composite Blend,56.8,3.7,0.97,1,7
141,Corn Starch Polymer Composite Fiber,10.1,4.4,1.09,1,7
142,Palm Wax Composite Premium Pack,29.4,11.7,0.97,1,9
143,Bamboo Fiber Lightweight Fiber,10.1,5.0,0.44,1,7
144,Citrus Waste Polymer Standard Blend,48.6,3.8,0.9,1,5
145,Recycled Plastic Mix Premium Blend,20.9,3.5,0.34,1,9
146,PLA-Bamboo Blend Recycled Large,17.1,6.1,0.48,1,7
147,Recycled Plastic Mix Standard Large,22.7,4.2,0.34,1,7
148,Paper Laminated Composite Pack,37.1,4.3,0.71,1,6
149,Organic Resin Foam Lightweight Pack,5.0,3.0,3.04,0,4
150,PLA-Bamboo Blend Consumer Fiber,18.4,6.7,0.53,1,7
151,Sugar Palm Fiber Consumer Sheet,15.9,4.4,0.41,1,7
152,Corrugated Fiberboard Lightweight Pack,11.2,5.1,0.79,1,7
153,Corn Starch Polymer Pack,15.0,8.5,0.89,1,5
154,Plastic (LDPE) Lightweight Fiber,16.7,5.9,0.73,1,7
155,PLA-Bamboo Blend Composite Fiber,12.3,8.1,1.1,1,7
156,Corn Bagasse Blend Consumer Small,15.3,7.4,0.77,1,5
157,Coconut Shell Fiber Large,18.3,5.1,0.76,1,8
158,Cork Standard Fiber,46.9,3.3,0.61,1,7
159,Paper Consumer Large,22.8,3.9,0.28,1,5
160,Rice Straw Polymer Blend Small,22.9,9.7,0.85,1,5
161,Bagasse Bioplastic Composite Sheet,24.5,7.0,0.82,1,5
162,Husk-Molded Packaging Lightweight Pack,36.8,9.8,0.49,1,4
163,Pea Starch Polymer Recycled Fiber,22.8,7.8,0.19,1,6
164,Starch Foam Blend Pack,9.9,4.9,0.36,1,8
165,Recycled Cotton HeavyDuty Large,37.6,6.4,0.39,1,9
166,Zero-Waste Fabric Blend Medium,45.6,9.4,1.02,1,6
167,Organic BioFoam Pack,13.8,5.7,0.88,1,5
168,Paper Laminated Consumer,15.4,5.4,0.56,1,8
169,Bagasse Composite Recycled Large,8.4,4.4,0.55,1,7
170,Cassava Starch Polymer Sheet,10.3,7.6,0.56,1,7
171,Leaf Fiber Biocomp Industrial Blend,28.5,7.2,0.93,1,9
172,Sugar Palm Fiber Premium Blend,30.7,6.3,0.54,1,9
173,Banana Stem Fiber HeavyDuty Small,24.4,7.9,0.75,1,8
174,Cotton Waste Composite Consumer Sheet,16.2,4.6,0.45,1,7
175,Aluminum Can Premium Pack,34.4,15.2,1.73,1,9
176,Recycled Plastic Mix Premium Medium,13.3,7.7,0.17,1,7
177,Corrugated Fiberboard Standard Large,19.6,3.8,0.77,1,6
178,Recycled Jute Mix Small,14.8,6.9,0.47,1,7
179,Hard Paper Shell Blend Large,29.3,3.3,0.7,1,8
180,Bio-Resin Plate Blend Blend,12.4,6.1,1.1,1,6
181,Paper Laminated Premium Medium,24.8,7.7,0.77,1,9
182,Recycled Pulp Fiber Standard Small,20.5,3.5,0.42,1,7
183,Mixed Natural Fiber Blend Large,30.5,8.2,0.33,1,8
184,Corn Starch Polymer Consumer Blend,10.9,8.0,0.35,1,8
185,Bioplastic (PLA) Consumer Large,14.8,6.1,0.97,1,8
186,Cotton-Pulp Composite Lightweight Blend,17.8,6.8,0.72,1,6
187,Rice Husk Composite Industrial Sheet,16.6,4.4,0.97,1,9
188,Recycled Fiber Foam Industrial Fiber,38.0,6.8,0.41,1,8
189,Hybrid Starch Plastic Consumer Blend,9.4,8.0,1.29,1,7
190,Palm Leaf Pulp HeavyDuty Blend,44.5,4.8,0.66,1,7
191,Bamboo Paper Recycled Large,30.0,6.6,0.26,1,7
192,Wheat Fiber Polymer Recycled Blend,27.6,5.5,0.38,1,6
193,Plant Fiber Polymer Premium Pack,20.3,10.7,0.77,1,9
194,Bio-cellulose Film Lightweight Pack,12.5,7.2,1.12,1,5
195,PLA-Starch Blend Recycled Sheet,9.5,4.2,0.35,1,5
196,Mushroom Packaging Consumer Small,36.5,6.2,0.98,1,5
197,Rice Husk Composite HeavyDuty Large,58.8,8.0,0.79,1,8
198,Coconut Shell Fiber HeavyDuty Large,35.8,7.4,0.66,1,9
199,Jute Blend Fiber,26.1,5.4,0.88,1,8
200,Recycled Aluminum Consumer Blend,61.0,4.9,0.32,1,6
201,Zero-Waste Fabric Standard Large,24.9,6.7,0.2,1,6
202,Hybrid Starch Plastic Blend Fiber,16.6,5.9,0.39,1,7
203,Mango Seed Polymer,47.6,7.9,0.7,1,7
204,Bamboo Husk Sheet Fiber,27.8,5.2,0.46,1,7
205,Corn Husk Polymer Standard Sheet,37.3,3.7,0.79,1,5
206,Bagasse Composite Blend Fiber,44.3,7.9,0.5,1,7
207,Coffee Husk Polymer Consumer Large,35.4,6.9,0.28,1,5
208,Flax Fiber Premium Pack,30.1,7.2,0.49,1,8
209,Cassava Starch Polymer Industrial,20.0,11.2,0.79,1,6
210,Coconut Shell Fiber Composite Fiber,21.3,4.2,0.4,1,8
211,EcoFilm Polymer HeavyDuty Blend,16.7,6.0,0.44,1,9
212,Cotton-Pulp Composite HeavyDuty,26.3,8.4,0.33,1,7
213,Coffee BioResin Blend,9.5,7.3,0.89,1,5
214,Glass Blend Medium,61.1,10.9,1.74,1,9
215,Organic Resin Foam Industrial Medium,13.1,4.6,2.48,0,7
216,Bioplastic (PLA) Recycled Fiber,10.0,5.7,0.58,1,7
217,Starch Foam Premium Blend,23.5,7.5,0.29,1,6
218,Starch Foam Composite Fiber,10.0,5.9,0.73,1,6
219,Palm Husk Fiber Blend Pack,23.7,4.7,0.55,1,7
220,Hybrid Starch Plastic Lightweight Blend,19.2,6.5,0.67,1,4
221,Cardboard Consumer,36.9,6.1,0.77,1,6
222,PLA-Bamboo Blend Premium Small,9.2,6.4,0.92,1,7
223,Mixed Natural Fiber Standard,15.5,6.1,0.92,1,7
224,Tea Waste Composite Premium,58.9,4.5,0.99,1,7
225,Coco-Peat Composite HeavyDuty Large,21.7,5.6,1.22,1,6
226,Coconut Coir Industrial Small,33.5,3.8,1.01,1,9
227,Sunflower Husk Fiber Premium Blend,17.0,7.2,0.29,1,7
228,Starch-Coir Composite Recycled Sheet,17.3,5.1,0.29,1,7
229,Banana Fiber Small,18.1,5.3,0.27,1,7
230,Mixed Natural Fiber HeavyDuty Pack,17.9,7.0,0.55,1,9
231,Hemp Fiber,18.9,7.2,0.69,1,7
232,Hemp Pulp Board Recycled Fiber,24.2,6.0,0.41,1,6
233,Wool Biopolymer Premium Small,11.6,6.0,1.13,1,6
234,Rice Straw Pulp Premium Small,24.2,6.4,0.59,1,8
235,Starch-Coir Composite Recycled Small,14.4,4.8,0.76,1,8
236,Banana Stem Fiber,20.2,3.6,0.74,1,7
237,PLA-Bamboo Blend Consumer Fiber,12.5,8.1,0.74,1,6
238,Husk-Molded Packaging Composite Small,46.1,3.5,1.36,1,6
239,Pea Starch Polymer Composite,17.7,4.8,0.75,1,6
240,Leaf-Pulp Shell Blend Blend,35.9,4.6,0.79,1,6
241,Hemp Fiber Blend Sheet,28.3,6.2,0.87,1,6
242,Leaf Husk Biopolymer Industrial Medium,13.3,7.2,1.03,1,7
243,Cassava Starch Polymer HeavyDuty Pack,19.6,8.8,1.19,1,6
244,Organic BioFoam Consumer Blend,18.4,5.0,0.36,1,6
245,Leaf Fiber Biocomp Blend Pack,21.0,5.8,0.94,1,7
246,Starch Foam Premium Small,23.2,10.1,0.66,1,7
247,Palm Husk Fiber Industrial Large,16.8,4.7,0.74,1,7
248,Recycled Fiber Foam Industrial Fiber,34.8,4.4,0.25,1,8
249,Bio-based Nylon Standard Blend,19.6,5.8,0.91,1,5
250,Leaf-Pulp Shell Composite Medium,33.4,4.5,0.68,1,5
251,Flax Fiber Premium Sheet,23.0,7.8,0.84,1,9
252,Palm Wax Composite Recycled Sheet,11.7,3.4,0.26,1,8
253,Palm Husk Fiber Pack,18.7,6.2,0.47,1,7
254,Jute Stick Composite Standard Large,24.9,7.3,0.59,1,6
255,Glass Premium Fiber,68.0,9.8,2.22,1,10
256,Flax Fiber Consumer Large,21.2,7.1,0.79,1,7
257,Biodegradable HDPE Industrial Blend,18.9,6.8,0.34,1,6
258,Bamboo Paper Standard Small,16.8,6.0,0.82,1,7
259,Jute-Poly Blend Premium Fiber,20.2,6.9,0.55,1,9
260,Biodegradable HDPE Premium Pack,14.7,6.2,0.77,1,6
261,Husk-Molded Packaging Sheet,42.5,6.7,0.48,1,8
262,Recycled Jute Mix Consumer Sheet,25.2,2.6,0.23,1,6
263,Recycled Glass Fiber Consumer Sheet,11.6,6.3,0.13,1,8
264,Hemp Bioplastic Industrial Pack,17.4,4.9,0.4,1,7
265,Leaf-Based Polymer Recycled Large,46.3,2.8,0.71,1,6
266,Areca Leaf Plate Premium Sheet,20.5,8.1,0.4,1,7
267,Areca Leaf Plate Consumer Medium,22.2,6.5,0.89,1,7
268,Kenaf Fiber Premium Blend,15.9,7.1,0.27,1,8
269,Palm Husk Fiber Pack,14.7,6.2,0.84,1,6
270,Steel Container Premium Pack,69.9,15.2,1.56,1,9
271,BioFoam Composite Medium,22.0,4.7,1.12,1,7
272,Bagasse Composite Standard Medium,50.5,8.3,0.64,1,6
273,Palm Husk Fiber Standard,11.5,6.9,0.72,1,7
274,Recycled Cotton Recycled Medium,13.3,2.5,0.2,1,7
275,Leaf Husk Biopolymer Industrial Small,21.6,8.5,0.97,1,6
276,Citrus Waste Polymer Standard Pack,8.5,9.6,0.84,1,5
277,Recycled Jute Mix Industrial Blend,35.5,3.4,0.38,1,7
278,Bio-based Nylon HeavyDuty,29.4,7.6,0.66,1,6
279,Cork Industrial Small,45.8,3.4,0.58,1,6
280,Bamboo-Silk Blend Lightweight Fiber,20.2,6.0,0.9,1,6
281,Flax Fiber Lightweight,19.1,5.2,0.44,1,7
282,Foam (EPS) HeavyDuty Pack,7.9,2.3,1.74,0,5
283,Glass Premium Small,101.5,13.1,2.17,1,9
284,Jute Stick Composite Blend Large,21.5,6.6,0.43,1,6
285,Mixed Natural Fiber Consumer Fiber,23.5,6.4,0.37,1,8
286,Bamboo Paper Industrial Pack,29.1,5.8,0.7,1,8
287,Organic Resin Foam Fiber,8.3,2.6,1.75,0,6
288,Leaf-Based Polymer,44.0,9.7,0.97,1,5
289,Organic BioFoam Lightweight Large,19.4,4.9,0.99,1,7
290,Plant Fiber Polymer Premium Pack,10.8,7.3,0.34,1,8
291,Husk-Molded Packaging Lightweight Medium,38.0,6.8,0.76,1,7
292,PLA-Starch Blend HeavyDuty Small,19.3,6.1,0.88,1,9
293,Bamboo Fiber Standard Fiber,22.1,4.0,0.51,1,7
294,Bamboo Paper Blend,23.8,5.8,0.42,1,7
295,Jute-Poly Blend Standard Large,25.9,7.5,0.69,1,7
296,Cotton Waste Composite Recycled Blend,15.3,4.2,0.49,1,8
297,Cotton Fabric Premium Pack,17.1,6.0,0.78,1,9
298,Husk BioBoard Large,19.3,7.7,0.55,1,6
299,Recycled Glass Fiber Lightweight Large,20.0,3.9,0.22,1,6
300,Wood Pulp Composite HeavyDuty Pack,24.1,5.0,0.8,1,8
301,Bamboo-Silk Blend HeavyDuty Small,30.8,4.9,0.75,1,8
302,Bioplastic (PHA) HeavyDuty Pack,13.7,5.5,0.77,1,9
303,Green Paper Pack,33.5,3.5,0.74,1,8
304,Bio-cellulose Film Lightweight Blend,13.7,6.2,1.08,1,5
305,Biodegradable HDPE Recycled Fiber,23.3,6.5,0.29,1,6
306,Reed Fiber Consumer Blend,24.7,4.5,0.43,1,7
307,Bio-cellulose Film Lightweight,11.9,4.6,0.78,1,5
308,Kenaf-Pulp Blend Blend Sheet,39.5,3.8,0.56,1,6
309,Corn Bagasse Blend Recycled,43.2,7.4,0.17,1,5
310,Aluminum Can Premium,113.4,16.4,2.25,1,10
311,Corn-Based BioWrap Recycled,17.4,4.7,0.2,1,7
312,Corn-Based BioWrap HeavyDuty Blend,21.2,8.9,0.68,1,9
313,Orange Peel Composite Industrial Pack,68.9,5.4,0.86,1,8
314,Wheat Straw Fiber Fiber,28.4,3.6,0.79,1,6
315,Leaf Husk Biopolymer Industrial Small,20.5,9.5,1.08,1,9
316,Recycled Jute Mix Composite Fiber,30.9,2.7,0.1,1,6
317,Recycled Aluminum Composite Small,68.7,6.6,0.23,1,8
318,Bamboo Husk Sheet HeavyDuty Sheet,32.4,5.2,0.83,1,7
319,Bio-PET Industrial Pack,20.8,10.1,0.56,1,8
320,Husk-Molded Packaging Blend,31.3,7.5,0.68,1,6
321,Hard Paper Shell Lightweight Sheet,14.9,6.6,0.69,1,7
322,Cork Composite Small,16.1,6.9,0.55,1,5
323,Organic Starch Plate Blend,11.7,7.6,0.67,1,8
324,Husk-Molded Packaging Consumer Blend,12.6,9.2,0.95,1,6
325,Bio-PET Standard Large,17.5,8.1,0.93,1,7
326,Orange Peel Composite Composite Blend,40.5,6.7,0.25,1,5
327,Plant Fiber Polymer Industrial,26.9,6.5,0.96,1,7
328,Water Hyacinth Fiber Recycled Medium,21.1,5.2,0.24,1,8
329,Hemp Pulp Board Recycled Blend,26.9,7.9,0.25,1,8
330,Brewery Waste Composite Industrial Small,45.8,9.8,0.67,1,9
331,Corrugated Fiberboard Large,28.6,4.6,0.83,1,7
332,Hybrid EcoComposite HeavyDuty Pack,13.5,5.4,0.2,1,6
333,Recycled Cotton Standard Fiber,19.0,7.3,0.38,1,8
334,Aluminum Can Premium Small,80.2,12.9,1.18,1,9
335,Leaf Fiber Biocomp Lightweight Medium,8.9,7.2,1.29,1,6
336,Algae Bioplastic Recycled Pack,9.5,6.8,0.36,1,8
337,Zero-Waste Fabric Industrial Blend,15.5,8.2,0.79,1,9
338,Tea Waste Composite Industrial Medium,59.5,4.8,0.4,1,6
339,Coconut Shell Fiber Premium Medium,26.7,4.9,0.61,1,7
340,Organic Resin Foam Lightweight Pack,5.0,1.9,1.86,0,4
341,Organic Starch Plate Blend Sheet,24.4,5.7,0.61,1,7
342,Husk BioBoard Consumer Pack,18.6,6.2,0.43,1,8
343,Bamboo-Silk Blend Standard Pack,24.6,6.0,0.67,1,8
344,EcoFilm Polymer Recycled Blend,50.1,3.4,0.63,1,7
345,Organic Resin Foam HeavyDuty Blend,8.3,4.5,2.14,0,7
346,Coffee Husk Polymer Industrial Sheet,45.5,8.5,0.83,1,9
347,Recycled Aluminum Consumer Fiber,88.4,3.1,0.17,1,7
348,Hard Paper Shell Composite Large,34.6,6.3,0.73,1,7
349,Starch-Coir Composite Premium Fiber,21.9,8.3,0.41,1,8
350,BioFoam Blend,22.6,8.0,1.06,1,5
351,Mushroom Packaging Industrial Fiber,65.8,6.2,0.32,1,8
352,Coconut Shell Fiber HeavyDuty Blend,31.7,6.4,0.62,1,7
353,Plastic (LDPE) HeavyDuty Sheet,22.9,7.9,0.43,1,6
354,Citrus Waste Polymer Lightweight Blend,21.3,6.7,0.34,1,7
355,Steel Container Consumer Blend,57.4,10.3,2.39,1,9
356,Recycled Paper HeavyDuty Fiber,59.7,4.8,0.1,1,9
357,Citrus Waste Polymer HeavyDuty Small,72.2,4.2,0.72,1,8
358,Recycled Jute Mix Recycled Sheet,24.2,4.1,0.22,1,7
359,Coco-Peat Composite Blend Small,14.6,9.4,0.3,1,7
360,Bamboo Husk Sheet Composite Fiber,29.3,5.1,0.86,1,8
361,Mushroom Packaging Industrial,52.1,10.2,0.47,1,8
362,Coco-Peat Composite Lightweight Large,23.7,3.4,0.97,1,4
363,Plant Fiber Polymer Recycled Large,17.8,5.1,0.59,1,5
364,Palm Fiber Polymer Lightweight Fiber,11.6,6.1,0.25,1,7
365,Steel Container Lightweight Blend,58.9,6.2,1.97,1,8
366,Banana Fiber Recycled,23.9,7.1,0.18,1,8
367,Plastic (HDPE) Composite,23.7,6.4,0.69,1,6
368,Jute-Poly Blend Composite Sheet,12.3,4.9,0.62,1,6
369,Cassava Starch Polymer HeavyDuty Large,15.3,7.7,0.5,1,9
370,Pineapple Leaf Fiber Blend Medium,17.3,7.9,0.34,1,8
371,Banana Fiber HeavyDuty Small,28.5,4.3,0.31,1,8
372,Organic BioFoam Blend Large,10.0,6.7,0.75,1,8
373,Algae Bioplastic Medium,24.1,8.3,1.01,1,6
374,BioFoam Industrial Pack,25.2,8.6,0.7,1,8
375,Hard Paper Shell Recycled,34.4,3.7,0.28,1,5
376,Mango Seed Polymer Industrial Pack,45.9,4.0,0.53,1,9
377,Sugar Palm Fiber Consumer Medium,27.5,5.6,0.73,1,8
378,Cotton Fabric Industrial Sheet,28.9,4.4,0.37,1,7
379,Rice Straw Pulp Recycled Fiber,31.7,5.9,0.53,1,8
380,Biodegradable HDPE Recycled Blend,18.5,5.8,0.26,1,5
381,Leaf-Pulp Shell Recycled Large,35.9,4.6,0.41,1,6
382,Coconut Shell Fiber Industrial Small,21.2,4.1,0.56,1,7
383,PLA-Starch Blend Blend Sheet,16.7,6.9,0.65,1,5
384,Recycled Steel Recycled Pack,95.2,3.2,0.16,1,8
385,Cardboard Blend Pack,19.5,5.0,0.35,1,8
386,Recycled Paper,43.5,6.2,0.41,1,7
387,Coffee BioResin Blend,12.3,4.7,1.21,1,8
388,Hybrid Starch Plastic Recycled Large,10.6,4.4,0.38,1,7
389,Corn Bagasse Blend Composite Large,16.0,6.3,0.54,1,6
390,Leaf Husk Biopolymer Premium Pack,21.7,10.9,0.96,1,6
391,Sugar Palm Fiber HeavyDuty Small,25.0,9.2,0.9,1,9
392,Mango Seed Polymer Standard Pack,53.5,3.3,1.12,1,6
393,Husk BioBoard Industrial,12.2,7.7,0.41,1,7
394,Bio-EVA Composite Medium,25.1,4.7,0.32,1,7
395,Aluminum Can Recycled Sheet,100.4,10.4,1.24,1,8
396,Palm Fiber Polymer Blend Medium,18.3,7.7,0.71,1,8
397,Sisal Fiber HeavyDuty Sheet,24.4,8.3,0.46,1,8
398,Pineapple Leaf Fiber Consumer Pack,25.4,5.8,0.59,1,7
399,Hybrid Starch Plastic HeavyDuty Pack,27.0,5.6,0.54,1,8
400,Coffee BioResin Industrial Pack,18.5,7.4,0.82,1,7
401,Palm Fiber Polymer Composite Small,25.7,6.9,0.4,1,6
402,Leaf Fiber Biocomp Lightweight Medium,8.9,4.2,0.7,1,5
