product_id,product_name,industry,weight_kg,volume_cm3,fragility_level,moisture_sensitivity,temperature_sensitivity,price_usd
43,Bluetooth FM Transmitter,Car Accessories,0.1,6.0,5.0,Low,Low,20
44,Electric Scooter,Outdoor & Sports,12.0,8000.0,5.0,Low,Low,500
45,Smart Home Hub,Home Automation,0.3,16.0,5.0,Low,Low,100
46,Smart Mirror,Home & Office,1.0,384.0,5.0,Low,Low,200
47,Wireless Charging Car Mount,Car Accessories,0.2,40.0,5.0,Low,Low,40
48,Smart Door Lock,Home Security,0.5,18.0,5.0,Low,Low,150
49,Fitness Smartwatch,Wearable Tech,0.1,2.0,7.0,Low,Medium,120
50,Bluetooth Earphones,Audio Devices,0.05,4.0,7.0,Low,Low,60
51,Smart LED Strip Lights,Home & Office,0.3,5.0,5.0,Low,Low,20
52,Portable Espresso Machine,Kitchen Appliances,0.6,63.0,5.0,Low,Low,80
53,Wireless Charging Mouse Pad,Computer Accessories,0.4,40.0,5.0,Low,Low,25
54,Electric Skateboard,Outdoor & Sports,8.0,1620.0,5.0,Low,Low,400
55,Smart Wi-Fi Plug,Home Automation,0.1,8.0,5.0,Low,Low,20
56,Bluetooth Beanie,Apparel & Accessories,0.1,80.0,5.0,Low,Low,25
57,Smart Bike Lock,Outdoor & Sports,0.5,15.0,5.0,Low,Low,50
58,Portable UV Sanitizer,Personal Care,0.3,64.0,5.0,Low,Low,30
59,Wireless Charging Desk Lamp,Home & Office,0.8,432.0,5.0,Low,Low,70
60,Smart Water Bottle,Health & Wellness,0.2,90.0,5.0,Low,Low,40
61,Bluetooth Shower Speaker,Audio Devices,0.3,32.0,7.0,Low,Low,20
62,Smart Garden,Home & Garden,2.0,1728.0,5.0,Low,Low,100
63,Wireless Charging Pad with Organizer,Home & Office,0.5,48.0,5.0,Low,Low,40
64,Smart Backpack,Travel & Luggage,1.0,1296.0,5.0,Low,Low,50
65,Portable Ice Maker,Kitchen Appliances,1.5,1800.0,5.0,Low,Low,150
66,Smart Pet Feeder,Pet Supplies,1.2,768.0,5.0,Low,Low,80
67,Wireless Charging Mouse,Computer Accessories,0.2,12.0,5.0,Low,Low,30
68,Smart Umbrella,Apparel & Accessories,0.5,100.0,5.0,Low,Low,40
69,Bluetooth BBQ Thermometer,Outdoor & Sports,0.2,12.0,5.0,Low,Low,30
70,Smart Wallet,Apparel & Accessories,0.1,6.0,5.0,Low,Low,50
71,Wireless Charging Desk Organizer,Home & Office,0.7,288.0,5.0,Low,Low,60
72,Smart Watering System,Home & Garden,1.5,640.0,5.0,Low,Low,100
73,Bluetooth Remote Control,Home & Office,0.1,6.0,5.0,Low,Low,20
74,Wireless Charging Bedside Lamp,Home & Office,0.5,250.0,5.0,Low,Low,80
75,Smart Skipping Rope,Fitness & Health,0.3,10.0,5.0,Low,Low,20
76,Portable Clothes Steamer,Home Appliances,0.6,192.0,5.0,Low,Low,40
77,Wireless Charging Car Mount with Auto-Clamp,Car Accessories,0.3,48.0,5.0,Low,Low,50
78,Smart Bicycle Helmet,Outdoor & Sports,0.5,480.0,5.0,Low,Low,100
79,Bluetooth Car Locator,Car Accessories,0.1,4.0,5.0,Low,Low,20
80,Smart Posture Corrector,Health & Wellness,0.3,24.0,5.0,Low,Low,30
81,Smart Wi-Fi Thermostat,Home Appliances,0.3,16.0,5.0,Low,Low,120
82,Wireless Charging Alarm Clock,Home & Office,0.5,48.0,5.0,Low,Low,40
83,Smart Water Leak Detector,Home Security,0.2,9.0,5.0,Low,Low,30
84,Bluetooth Meat Thermometer,Kitchen Appliances,0.1,4.0,5.0,Low,Low,20
85,Smart Sleep Mask,Health & Wellness,0.1,32.0,5.0,Low,Low,25
86,Wireless Charging Nightstand,Home & Office,1.0,5120.0,5.0,Low,Low,100
87,Smart Kitchen Scale,Kitchen Appliances,0.5,80.0,5.0,Low,Low,50
88,Portable Air Purifier,Home Appliances,0.8,360.0,5.0,Low,Low,70
89,Bluetooth Smart Lock,Home Security,0.3,15.0,5.0,Low,Low,80
90,Wireless Charging Coaster,Home & Office,0.2,8.0,5.0,Low,Low,20
91,Smart Notebook,Home & Office,0.2,24.0,5.0,Low,Low,15
92,Wireless Charging Mouse Pad with Wrist Rest,Computer Accessories,0.5,80.0,5.0,Low,Low,30
93,Smart Diffuser,Home & Office,0.3,288.0,5.0,Low,Low,40
94,Bluetooth Sleep Headphones,Audio Devices,0.2,160.0,7.0,Low,Low,50
95,Smart Air Fryer,Kitchen Appliances,1.5,1200.0,5.0,Low,Low,120
96,Wireless Charging Desk Organizer with Lamp,Home & Office,1.2,960.0,5.0,Low,Low,70
97,Smart Light Switch,Home Automation,0.2,16.0,5.0,Low,Low,30
98,Wireless Charging Valet Tray,Home & Office,0.5,96.0,5.0,Low,Low,40
99,Bluetooth Wine Opener,Kitchen Appliances,0.3,32.0,5.0,Low,Low,30
100,Smart Garbage Can,Home & Office,2.0,3456.0,5.0,Low,Low,80
101,Wireless Charging Bedside Table,Home & Office,2.5,6400.0,5.0,Low,Low,100
102,Smart Plant Pot,Gardening & Lawn Care,0.5,216.0,5.0,Low,Low,60
103,Bluetooth Picture Frame,Home Decor,0.3,48.0,5.0,Low,Low,40
104,Smart Dog Collar,Pet Supplies,0.2,4.0,5.0,Low,Low,50
105,Wireless Charging Desk Lamp with Speaker,Home & Office,1.0,1280.0,5.0,Low,Low,90
106,Smart Remote Control,Home & Office,0.1,6.0,5.0,Low,Low,20
107,Wireless Charging Desk Fan,Home & Office,0.7,360.0,5.0,Low,Low,60
108,Smart Dog Feeder,Pet Supplies,1.0,1152.0,5.0,Low,Low,70
109,Bluetooth Smart Bulb,Home & Office,0.1,16.0,5.0,Low,Low,20
110,Wireless Charging Wall Clock,Home & Office,0.5,144.0,5.0,Low,Low,50
111,Smart Sun Hat,Apparel & Accessories,0.1,720.0,5.0,Low,Low,20
112,Wireless Charging Desk Clock,Home & Office,0.3,24.0,5.0,Low,Low,30
113,Bluetooth Water Bottle,Health & Wellness,0.2,90.0,5.0,Low,Low,25
114,Smart Cutting Board,Kitchen Accessories,0.5,96.0,5.0,Low,Low,40
115,Wireless Charging Makeup Mirror,Home & Office,0.8,960.0,5.0,Low,Low,80
116,Smart Luggage Tag,Travel & Luggage,0.1,1.6,5.0,Low,Low,15
117,Bluetooth Baby Monitor,Parenting & Baby Care,0.2,48.0,5.0,Low,Low,40
118,Wireless Charging Coaster Set,Home & Office,0.5,18.0,5.0,Low,Low,35
119,Smart Bike Light,Cycling Accessories,0.1,8.0,5.0,Low,Low,25
120,Bluetooth Travel Speaker,Audio Devices,0.3,48.0,7.0,Low,Low,60
