id,material,weight,cost,co2_emission,recyclable,durability
37,Palm Fiber Polymer Fiber,24.5,8.1,0.89,1,6
38,Palm Leaf Pulp Fiber,20.3,4.4,0.42,1,5
39,Rice Straw Polymer Premium Medium,13.4,9.6,0.96,1,6
40,Chitosan Film Industrial Small,50.4,6.6,1.13,1,6
41,Recycled Fiber Foam Standard Small,20.0,3.8,0.1,1,7
42,Foam (EPS) HeavyDuty Fiber,11.3,2.5,2.66,0,7
43,Green Paper Lightweight Fiber,22.4,5.5,0.68,1,5
44,Paper-Pulp Mold Blend,26.8,6.2,0.44,1,7
45,Pineapple Leaf Fiber Recycled,30.4,5.5,0.44,1,7
46,Algae Fiber Board Lightweight Pack,19.9,3.6,0.46,1,7
47,Organic Starch Plate Composite Small,22.8,6.9,0.79,1,7
48,Jute-Poly Blend Blend Medium,23.3,6.4,0.34,1,7
49,Hard Paper Shell Standard Pack,38.0,3.3,0.24,1,6
50,Pea Starch Polymer HeavyDuty Small,19.4,9.2,0.47,1,9
51,Citrus Waste Polymer Recycled Large,16.4,3.6,0.13,1,5
52,Foam (EPS) Composite Medium,10.0,3.4,1.62,0,4
53,Bamboo Mesh Consumer,27.6,4.3,0.42,1,8
54,Green Paper Composite Blend,30.4,7.3,0.5,1,7
55,Cardboard Lightweight Sheet,18.5,3.3,0.78,1,7
56,Brewery Waste Composite Recycled Large,37.9,7.0,0.44,1,8
57,Bioplastic (PHA) Premium Small,10.5,7.2,0.41,1,8
58,Glass Industrial Small,46.9,12.6,2.5,1,10
59,Corn-Based BioWrap Consumer Medium,14.0,7.3,0.51,1,6
60,Coconut Coir Industrial Medium,54.2,10.1,0.3,1,7
61,Paperboard Consumer Fiber,21.8,6.1,0.27,1,7
62,Pine Needle Composite Consumer Large,30.9,5.2,1.28,1,6
63,Bio-Resin Plate Recycled Fiber,19.1,7.5,0.28,1,5
64,Bagasse Bioplastic Composite Blend,20.9,8.3,0.83,1,5
65,Mango Seed Polymer Consumer Blend,57.3,7.6,0.34,1,6
66,Areca Leaf Plate Premium Large,13.2,7.0,0.99,1,7
67,Jute Composite,14.3,5.3,0.84,1,6
68,Rice Straw Pulp Consumer Large,24.0,3.8,0.72,1,6
69,Rice Straw Pulp Premium,16.8,9.0,0.69,1,9
70,Cotton Fabric Standard Large,23.4,7.6,0.8,1,8
71,Jute Standard Sheet,21.3,5.7,0.3,1,6
72,Cotton Fabric Consumer Large,16.5,7.4,0.52,1,8
73,Palm Husk Fiber Industrial Large,29.2,8.4,0.26,1,7
74,Bamboo Mesh HeavyDuty Blend,30.5,4.8,0.75,1,9
75,Tea Waste Composite Industrial Fiber,50.3,5.8,0.91,1,7
76,Kenaf Fiber Lightweight Small,18.8,4.3,0.78,1,6
77,Husk-Molded Packaging Blend Sheet,40.3,2.9,0.44,1,8
78,Recycled Glass Fiber Blend Blend,31.3,2.6,0.41,1,8
79,Organic Resin Foam Standard Small,8.5,3.2,2.02,0,4
80,Bioplastic (PHA) Blend Sheet,12.8,6.8,0.73,1,5
81,Palm Wax Composite Lightweight Large,28.2,3.7,0.52,1,6
82,Kenaf Fiber Premium Blend,15.0,4.9,0.33,1,7
83,Rice Husk Composite Blend Medium,47.9,5.3,1.05,1,6
84,Palm Husk Fiber Industrial Large,33.5,8.2,0.94,1,9
85,Citrus Waste Polymer Lightweight Blend,7.7,4.6,0.75,1,6
86,Tapioca Polymer Consumer Small,25.9,5.5,1.0,1,8
87,Bioplastic (PLA) Consumer,26.4,6.4,0.49,1,6
88,Aluminum Can Premium Medium,76.6,9.9,2.6,1,9
89,Bio-PET Industrial Blend,25.5,6.8,1.23,1,7
90,Pine Needle Composite Blend,40.1,6.8,0.61,1,8
91,Banana Fiber Blend,23.3,5.9,0.61,1,7
92,Coconut Shell Fiber Recycled Blend,25.3,4.8,0.34,1,6
93,Cotton Waste Composite Blend Blend,16.0,5.1,0.37,1,6
94,Foam (EPS) Premium Pack,9.9,5.3,3.68,0,7
95,Pine Needle Composite Standard,29.0,8.6,0.41,1,7
96,Palm Fiber Polymer Composite,23.5,4.4,0.6,1,7
97,Bioplastic (PLA) Blend,22.4,6.7,0.74,1,7
98,Pea Starch Polymer Consumer Medium,8.3,7.0,0.37,1,6
99,Bioplastic (PHA) Consumer Small,19.4,5.1,1.02,1,7
100,Leaf-Pulp Shell HeavyDuty Small,47.7,7.3,0.33,1,8
101,Green Paper Lightweight Large,27.8,5.8,0.5,1,6
102,Paper Laminated Lightweight Large,28.4,3.5,0.66,1,5
103,Bio-EVA,18.5,6.6,0.4,1,8
104,Coco-Peat Composite Lightweight Fiber,32.2,3.5,0.95,1,6
105,Husk-Molded Packaging Sheet,23.2,2.5,0.36,1,6
106,Paperboard Premium Sheet,41.6,4.9,0.28,1,8
107,PLA-Starch Blend Recycled Fiber,14.8,5.0,0.32,1,6
108,Coconut Coir Recycled Blend,27.0,8.9,0.23,1,5
109,Mushroom Packaging Lightweight,18.5,9.0,1.08,1,7
110,Hard Paper Shell Small,21.0,5.6,0.4,1,6
111,Cotton Fabric Consumer Large,27.0,6.8,0.81,1,7
112,Pea Starch Polymer Recycled Medium,20.6,6.2,0.5,1,8
113,PLA-Bamboo Blend Lightweight Large,15.5,4.2,0.82,1,7
114,Areca Bark Composite Recycled Medium,47.4,8.5,0.56,1,6
115,Bio-cellulose Film Consumer Pack,20.2,6.6,1.02,1,7
116,Organic BioFoam Consumer,12.7,4.5,0.94,1,5
117,Bagasse Bioplastic Consumer Pack,22.0,6.1,0.63,1,8
118,Husk-Molded Packaging Lightweight Medium,31.1,2.8,0.6,1,7
119,Paperboard Lightweight Small,22.6,6.6,0.32,1,5
120,Palm Fiber Polymer Consumer Medium,19.9,4.0,0.54,1,7
121,Reed Fiber Recycled Large,11.5,5.5,0.43,1,6
122,Bio-Resin Plate Composite Large,15.1,5.1,0.85,1,5
123,Algae Fiber Board Recycled Blend,26.5,5.2,0.44,1,8
124,Cork Standard Small,13.2,6.1,1.22,1,5
125,Leaf Husk Biopolymer Blend Pack,17.9,7.6,0.73,1,7
126,Plastic (HDPE) Standard Sheet,26.6,5.4,0.92,1,7
127,Organic Starch Plate HeavyDuty Pack,29.1,9.8,0.89,1,8
128,Bamboo Fiber Industrial Fiber,36.4,10.2,0.83,1,7
129,Jute Stick Composite Standard Small,25.7,5.1,0.73,1,6
130,Cotton Fabric HeavyDuty,26.9,7.1,0.64,1,9
131,Hybrid Starch Plastic Composite Medium,13.7,5.8,0.66,1,5
132,Cassava Starch Polymer HeavyDuty,17.2,5.0,0.88,1,9
133,Leaf-Based Polymer Composite,31.3,3.9,0.36,1,8
134,Mango Seed Polymer Composite Large,35.3,5.3,0.9,1,6
135,Algae Fiber Board Premium Small,26.8,5.2,0.57,1,8
136,Hemp Bioplastic Consumer Fiber,21.3,8.0,0.67,1,6
137,Coco-Peat Composite HeavyDuty Large,55.2,10.7,0.91,1,7
138,Organic Resin Foam HeavyDuty Medium,10.0,2.5,2.01,0,7
139,Brewery Waste Composite Blend,56.8,3.7,0.97,1,7
140,Corn Starch Polymer Composite Fiber,10.1,4.4,1.09,1,7
141,Palm Wax Composite Premium Pack,29.4,11.7,0.97,1,9
142,Bamboo Fiber Lightweight Fiber,10.1,5.0,0.44,1,7
143,Citrus Waste Polymer Standard Blend,48.6,3.8,0.9,1,5
144,Recycled Plastic Mix Premium Blend,20.9,3.5,0.34,1,9
145,PLA-Bamboo Blend Recycled Large,17.1,6.1,0.48,1,7
146,Recycled Plastic Mix Standard Large,22.7,4.2,0.34,1,7
147,Paper Laminated Composite Pack,37.1,4.3,0.71,1,6
148,Organic Resin Foam Lightweight Pack,5.0,3.0,3.04,0,4
149,PLA-Bamboo Blend Consumer Fiber,18.4,6.7,0.53,1,7
150,Sugar Palm Fiber Consumer Sheet,15.9,4.4,0.41,1,7
151,Corrugated Fiberboard Lightweight Pack,11.2,5.1,0.79,1,7
152,Corn Starch Polymer Pack,15.0,8.5,0.89,1,5
153,Plastic (LDPE) Lightweight Fiber,16.7,5.9,0.73,1,7
154,PLA-Bamboo Blend Composite Fiber,12.3,8.1,1.1,1,7
155,Corn Bagasse Blend Consumer Small,15.3,7.4,0.77,1,5
156,Coconut Shell Fiber Large,18.3,5.1,0.76,1,8
157,Cork Standard Fiber,46.9,3.3,0.61,1,7
158,Paper Consumer Large,22.8,3.9,0.28,1,5
159,Rice Straw Polymer Blend Small,22.9,9.7,0.85,1,5
160,Bagasse Bioplastic Composite Sheet,24.5,7.0,0.82,1,5
161,Husk-Molded Packaging Lightweight Pack,36.8,9.8,0.49,1,4
162,Pea Starch Polymer Recycled Fiber,22.8,7.8,0.19,1,6
163,Starch Foam Blend Pack,9.9,4.9,0.36,1,8
164,Recycled Cotton HeavyDuty Large,37.6,6.4,0.39,1,9
165,Zero-Waste Fabric Blend Medium,45.6,9.4,1.02,1,6
166,Organic BioFoam Pack,13.8,5.7,0.88,1,5
167,Paper Laminated Consumer,15.4,5.4,0.56,1,8
168,Bagasse Composite Recycled Large,8.4,4.4,0.55,1,7
169,Cassava Starch Polymer Sheet,10.3,7.6,0.56,1,7
170,Leaf Fiber Biocomp Industrial Blend,28.5,7.2,0.93,1,9
171,Sugar Palm Fiber Premium Blend,30.7,6.3,0.54,1,9
172,Banana Stem Fiber HeavyDuty Small,24.4,7.9,0.75,1,8
173,Cotton Waste Composite Consumer Sheet,16.2,4.6,0.45,1,7
174,Aluminum Can Premium Pack,34.4,15.2,1.73,1,9
175,Recycled Plastic Mix Premium Medium,13.3,7.7,0.17,1,7
176,Corrugated Fiberboard Standard Large,19.6,3.8,0.77,1,6
177,Recycled Jute Mix Small,14.8,6.9,0.47,1,7
178,Hard Paper Shell Blend Large,29.3,3.3,0.7,1,8
179,Bio-Resin Plate Blend Blend,12.4,6.1,1.1,1,6
180,Paper Laminated Premium Medium,24.8,7.7,0.77,1,9
181,Recycled Pulp Fiber Standard Small,20.5,3.5,0.42,1,7
182,Mixed Natural Fiber Blend Large,30.5,8.2,0.33,1,8
183,Corn Starch Polymer Consumer Blend,10.9,8.0,0.35,1,8
184,Bioplastic (PLA) Consumer Large,14.8,6.1,0.97,1,8
185,Cotton-Pulp Composite Lightweight Blend,17.8,6.8,0.72,1,6
186,Rice Husk Composite Industrial Sheet,16.6,4.4,0.97,1,9
187,Recycled Fiber Foam Industrial Fiber,38.0,6.8,0.41,1,8
188,Hybrid Starch Plastic Consumer Blend,9.4,8.0,1.29,1,7
189,Palm Leaf Pulp HeavyDuty Blend,44.5,4.8,0.66,1,7
190,Bamboo Paper Recycled Large,30.0,6.6,0.26,1,7
191,Wheat Fiber Polymer Recycled Blend,27.6,5.5,0.38,1,6
192,Plant Fiber Polymer Premium Pack,20.3,10.7,0.77,1,9
193,Bio-cellulose Film Lightweight Pack,12.5,7.2,1.12,1,5
194,PLA-Starch Blend Recycled Sheet,9.5,4.2,0.35,1,5
195,Mushroom Packaging Consumer Small,36.5,6.2,0.98,1,5
196,Rice Husk Composite HeavyDuty Large,58.8,8.0,0.79,1,8
197,Coconut Shell Fiber HeavyDuty Large,35.8,7.4,0.66,1,9
198,Jute Blend Fiber,26.1,5.4,0.88,1,8
199,Recycled Aluminum Consumer Blend,61.0,4.9,0.32,1,6
200,Zero-Waste Fabric Standard Large,24.9,6.7,0.2,1,6
201,Hybrid Starch Plastic Blend Fiber,16.6,5.9,0.39,1,7
202,Mango Seed Polymer,47.6,7.9,0.7,1,7
203,Bamboo Husk Sheet Fiber,27.8,5.2,0.46,1,7
204,Corn Husk Polymer Standard Sheet,37.3,3.7,0.79,1,5
205,Bagasse Composite Blend Fiber,44.3,7.9,0.5,1,7
206,Coffee Husk Polymer Consumer Large,35.4,6.9,0.28,1,5
207,Flax Fiber Premium Pack,30.1,7.2,0.49,1,8
208,Cassava Starch Polymer Industrial,20.0,11.2,0.79,1,6
209,Coconut Shell Fiber Composite Fiber,21.3,4.2,0.4,1,8
210,EcoFilm Polymer HeavyDuty Blend,16.7,6.0,0.44,1,9
211,Cotton-Pulp Composite HeavyDuty,26.3,8.4,0.33,1,7
212,Coffee BioResin Blend,9.5,7.3,0.89,1,5
213,Glass Blend Medium,61.1,10.9,1.74,1,9
214,Organic Resin Foam Industrial Medium,13.1,4.6,2.48,0,7
215,Bioplastic (PLA) Recycled Fiber,10.0,5.7,0.58,1,7
216,Starch Foam Premium Blend,23.5,7.5,0.29,1,6
217,Starch Foam Composite Fiber,10.0,5.9,0.73,1,6
218,Palm Husk Fiber Blend Pack,23.7,4.7,0.55,1,7
219,Hybrid Starch Plastic Lightweight Blend,19.2,6.5,0.67,1,4
220,Cardboard Consumer,36.9,6.1,0.77,1,6
221,PLA-Bamboo Blend Premium Small,9.2,6.4,0.92,1,7
222,Mixed Natural Fiber Standard,15.5,6.1,0.92,1,7
223,Tea Waste Composite Premium,58.9,4.5,0.99,1,7
224,Coco-Peat Composite HeavyDuty Large,21.7,5.6,1.22,1,6
225,Coconut Coir Industrial Small,33.5,3.8,1.01,1,9
226,Sunflower Husk Fiber Premium Blend,17.0,7.2,0.29,1,7
227,Starch-Coir Composite Recycled Sheet,17.3,5.1,0.29,1,7
228,Banana Fiber Small,18.1,5.3,0.27,1,7
229,Mixed Natural Fiber HeavyDuty Pack,17.9,7.0,0.55,1,9
230,Hemp Fiber,18.9,7.2,0.69,1,7
231,Hemp Pulp Board Recycled Fiber,24.2,6.0,0.41,1,6
232,Wool Biopolymer Premium Small,11.6,6.0,1.13,1,6
233,Rice Straw Pulp Premium Small,24.2,6.4,0.59,1,8
234,Starch-Coir Composite Recycled Small,14.4,4.8,0.76,1,8
235,Banana Stem Fiber,20.2,3.6,0.74,1,7
236,PLA-Bamboo Blend Consumer Fiber,12.5,8.1,0.74,1,6
237,Husk-Molded Packaging Composite Small,46.1,3.5,1.36,1,6
238,Pea Starch Polymer Composite,17.7,4.8,0.75,1,6
239,Leaf-Pulp Shell Blend Blend,35.9,4.6,0.79,1,6
240,Hemp Fiber Blend Sheet,28.3,6.2,0.87,1,6
241,Leaf Husk Biopolymer Industrial Medium,13.3,7.2,1.03,1,7
242,Cassava Starch Polymer HeavyDuty Pack,19.6,8.8,1.19,1,6
243,Organic BioFoam Consumer Blend,18.4,5.0,0.36,1,6
244,Leaf Fiber Biocomp Blend Pack,21.0,5.8,0.94,1,7
245,Starch Foam Premium Small,23.2,10.1,0.66,1,7
246,Palm Husk Fiber Industrial Large,16.8,4.7,0.74,1,7
247,Recycled Fiber Foam Industrial Fiber,34.8,4.4,0.25,1,8
248,Bio-based Nylon Standard Blend,19.6,5.8,0.91,1,5
249,Leaf-Pulp Shell Composite Medium,33.4,4.5,0.68,1,5
250,Flax Fiber Premium Sheet,23.0,7.8,0.84,1,9
251,Palm Wax Composite Recycled Sheet,11.7,3.4,0.26,1,8
252,Palm Husk Fiber Pack,18.7,6.2,0.47,1,7
253,Jute Stick Composite Standard Large,24.9,7.3,0.59,1,6
254,Glass Premium Fiber,68.0,9.8,2.22,1,10
255,Flax Fiber Consumer Large,21.2,7.1,0.79,1,7
256,Biodegradable HDPE Industrial Blend,18.9,6.8,0.34,1,6
257,Bamboo Paper Standard Small,16.8,6.0,0.82,1,7
258,Jute-Poly Blend Premium Fiber,20.2,6.9,0.55,1,9
259,Biodegradable HDPE Premium Pack,14.7,6.2,0.77,1,6
260,Husk-Molded Packaging Sheet,42.5,6.7,0.48,1,8
261,Recycled Jute Mix Consumer Sheet,25.2,2.6,0.23,1,6
262,Recycled Glass Fiber Consumer Sheet,11.6,6.3,0.13,1,8
263,Hemp Bioplastic Industrial Pack,17.4,4.9,0.4,1,7
264,Leaf-Based Polymer Recycled Large,46.3,2.8,0.71,1,6
265,Areca Leaf Plate Premium Sheet,20.5,8.1,0.4,1,7
266,Areca Leaf Plate Consumer Medium,22.2,6.5,0.89,1,7
267,Kenaf Fiber Premium Blend,15.9,7.1,0.27,1,8
268,Palm Husk Fiber Pack,14.7,6.2,0.84,1,6
269,Steel Container Premium Pack,69.9,15.2,1.56,1,9
270,BioFoam Composite Medium,22.0,4.7,1.12,1,7
271,Bagasse Composite Standard Medium,50.5,8.3,0.64,1,6
272,Palm Husk Fiber Standard,11.5,6.9,0.72,1,7
273,Recycled Cotton Recycled Medium,13.3,2.5,0.2,1,7
274,Leaf Husk Biopolymer Industrial Small,21.6,8.5,0.97,1,6
275,Citrus Waste Polymer Standard Pack,8.5,9.6,0.84,1,5
276,Recycled Jute Mix Industrial Blend,35.5,3.4,0.38,1,7
277,Bio-based Nylon HeavyDuty,29.4,7.6,0.66,1,6
278,Cork Industrial Small,45.8,3.4,0.58,1,6
279,Bamboo-Silk Blend Lightweight Fiber,20.2,6.0,0.9,1,6
280,Flax Fiber Lightweight,19.1,5.2,0.44,1,7
281,Foam (EPS) HeavyDuty Pack,7.9,2.3,1.74,0,5
282,Glass Premium Small,101.5,13.1,2.17,1,9
283,Jute Stick Composite Blend Large,21.5,6.6,0.43,1,6
284,Mixed Natural Fiber Consumer Fiber,23.5,6.4,0.37,1,8
285,Bamboo Paper Industrial Pack,29.1,5.8,0.7,1,8
286,Organic Resin Foam Fiber,8.3,2.6,1.75,0,6
287,Leaf-Based Polymer,44.0,9.7,0.97,1,5
288,Organic BioFoam Lightweight Large,19.4,4.9,0.99,1,7
289,Plant Fiber Polymer Premium Pack,10.8,7.3,0.34,1,8
290,Husk-Molded Packaging Lightweight Medium,38.0,6.8,0.76,1,7
291,PLA-Starch Blend HeavyDuty Small,19.3,6.1,0.88,1,9
292,Bamboo Fiber Standard Fiber,22.1,4.0,0.51,1,7
293,Bamboo Paper Blend,23.8,5.8,0.42,1,7
294,Jute-Poly Blend Standard Large,25.9,7.5,0.69,1,7
295,Cotton Waste Composite Recycled Blend,15.3,4.2,0.49,1,8
296,Cotton Fabric Premium Pack,17.1,6.0,0.78,1,9
297,Husk BioBoard Large,19.3,7.7,0.55,1,6
298,Recycled Glass Fiber Lightweight Large,20.0,3.9,0.22,1,6
299,Wood Pulp Composite HeavyDuty Pack,24.1,5.0,0.8,1,8
300,Bamboo-Silk Blend HeavyDuty Small,30.8,4.9,0.75,1,8
301,Bioplastic (PHA) HeavyDuty Pack,13.7,5.5,0.77,1,9
302,Green Paper Pack,33.5,3.5,0.74,1,8
303,Bio-cellulose Film Lightweight Blend,13.7,6.2,1.08,1,5
304,Biodegradable HDPE Recycled Fiber,23.3,6.5,0.29,1,6
305,Reed Fiber Consumer Blend,24.7,4.5,0.43,1,7
306,Bio-cellulose Film Lightweight,11.9,4.6,0.78,1,5
307,Kenaf-Pulp Blend Blend Sheet,39.5,3.8,0.56,1,6
308,Corn Bagasse Blend Recycled,43.2,7.4,0.17,1,5
309,Aluminum Can Premium,113.4,16.4,2.25,1,10
310,Corn-Based BioWrap Recycled,17.4,4.7,0.2,1,7
311,Corn-Based BioWrap HeavyDuty Blend,21.2,8.9,0.68,1,9
312,Orange Peel Composite Industrial Pack,68.9,5.4,0.86,1,8
313,Wheat Straw Fiber Fiber,28.4,3.6,0.79,1,6
314,Leaf Husk Biopolymer Industrial Small,20.5,9.5,1.08,1,9
315,Recycled Jute Mix Composite Fiber,30.9,2.7,0.1,1,6
316,Recycled Aluminum Composite Small,68.7,6.6,0.23,1,8
317,Bamboo Husk Sheet HeavyDuty Sheet,32.4,5.2,0.83,1,7
318,Bio-PET Industrial Pack,20.8,10.1,0.56,1,8
319,Husk-Molded Packaging Blend,31.3,7.5,0.68,1,6
320,Hard Paper Shell Lightweight Sheet,14.9,6.6,0.69,1,7
321,Cork Composite Small,16.1,6.9,0.55,1,5
322,Organic Starch Plate Blend,11.7,7.6,0.67,1,8
323,Husk-Molded Packaging Consumer Blend,12.6,9.2,0.95,1,6
324,Bio-PET Standard Large,17.5,8.1,0.93,1,7
325,Orange Peel Composite Composite Blend,40.5,6.7,0.25,1,5
326,Plant Fiber Polymer Industrial,26.9,6.5,0.96,1,7
327,Water Hyacinth Fiber Recycled Medium,21.1,5.2,0.24,1,8
328,Hemp Pulp Board Recycled Blend,26.9,7.9,0.25,1,8
329,Brewery Waste Composite Industrial Small,45.8,9.8,0.67,1,9
330,Corrugated Fiberboard Large,28.6,4.6,0.83,1,7
331,Hybrid EcoComposite HeavyDuty Pack,13.5,5.4,0.2,1,6
332,Recycled Cotton Standard Fiber,19.0,7.3,0.38,1,8
333,Aluminum Can Premium Small,80.2,12.9,1.18,1,9
334,Leaf Fiber Biocomp Lightweight Medium,8.9,7.2,1.29,1,6
335,Algae Bioplastic Recycled Pack,9.5,6.8,0.36,1,8
336,Zero-Waste Fabric Industrial Blend,15.5,8.2,0.79,1,9
337,Tea Waste Composite Industrial Medium,59.5,4.8,0.4,1,6
338,Coconut Shell Fiber Premium Medium,26.7,4.9,0.61,1,7
339,Organic Resin Foam Lightweight Pack,5.0,1.9,1.86,0,4
340,Organic Starch Plate Blend Sheet,24.4,5.7,0.61,1,7
341,Husk BioBoard Consumer Pack,18.6,6.2,0.43,1,8
342,Bamboo-Silk Blend Standard Pack,24.6,6.0,0.67,1,8
343,EcoFilm Polymer Recycled Blend,50.1,3.4,0.63,1,7
344,Organic Resin Foam HeavyDuty Blend,8.3,4.5,2.14,0,7
345,Coffee Husk Polymer Industrial Sheet,45.5,8.5,0.83,1,9
346,Recycled Aluminum Consumer Fiber,88.4,3.1,0.17,1,7
347,Hard Paper Shell Composite Large,34.6,6.3,0.73,1,7
348,Starch-Coir Composite Premium Fiber,21.9,8.3,0.41,1,8
349,BioFoam Blend,22.6,8.0,1.06,1,5
350,Mushroom Packaging Industrial Fiber,65.8,6.2,0.32,1,8
351,Coconut Shell Fiber HeavyDuty Blend,31.7,6.4,0.62,1,7
352,Plastic (LDPE) HeavyDuty Sheet,22.9,7.9,0.43,1,6
353,Citrus Waste Polymer Lightweight Blend,21.3,6.7,0.34,1,7
354,Steel Container Consumer Blend,57.4,10.3,2.39,1,9
355,Recycled Paper HeavyDuty Fiber,59.7,4.8,0.1,1,9
356,Citrus Waste Polymer HeavyDuty Small,72.2,4.2,0.72,1,8
357,Recycled Jute Mix Recycled Sheet,24.2,4.1,0.22,1,7
358,Coco-Peat Composite Blend Small,14.6,9.4,0.3,1,7
359,Bamboo Husk Sheet Composite Fiber,29.3,5.1,0.86,1,8
360,Mushroom Packaging Industrial,52.1,10.2,0.47,1,8
361,Coco-Peat Composite Lightweight Large,23.7,3.4,0.97,1,4
362,Plant Fiber Polymer Recycled Large,17.8,5.1,0.59,1,5
363,Palm Fiber Polymer Lightweight Fiber,11.6,6.1,0.25,1,7
364,Steel Container Lightweight Blend,58.9,6.2,1.97,1,8
365,Banana Fiber Recycled,23.9,7.1,0.18,1,8
366,Plastic (HDPE) Composite,23.7,6.4,0.69,1,6
367,Jute-Poly Blend Composite Sheet,12.3,4.9,0.62,1,6
368,Cassava Starch Polymer HeavyDuty Large,15.3,7.7,0.5,1,9
369,Pineapple Leaf Fiber Blend Medium,17.3,7.9,0.34,1,8
370,Banana Fiber HeavyDuty Small,28.5,4.3,0.31,1,8
371,Organic BioFoam Blend Large,10.0,6.7,0.75,1,8
372,Algae Bioplastic Medium,24.1,8.3,1.01,1,6
373,BioFoam Industrial Pack,25.2,8.6,0.7,1,8
374,Hard Paper Shell Recycled,34.4,3.7,0.28,1,5
375,Mango Seed Polymer Industrial Pack,45.9,4.0,0.53,1,9
376,Sugar Palm Fiber Consumer Medium,27.5,5.6,0.73,1,8
377,Cotton Fabric Industrial Sheet,28.9,4.4,0.37,1,7
378,Rice Straw Pulp Recycled Fiber,31.7,5.9,0.53,1,8
379,Biodegradable HDPE Recycled Blend,18.5,5.8,0.26,1,5
380,Leaf-Pulp Shell Recycled Large,35.9,4.6,0.41,1,6
381,Coconut Shell Fiber Industrial Small,21.2,4.1,0.56,1,7
382,PLA-Starch Blend Blend Sheet,16.7,6.9,0.65,1,5
383,Recycled Steel Recycled Pack,95.2,3.2,0.16,1,8
384,Cardboard Blend Pack,19.5,5.0,0.35,1,8
385,Recycled Paper,43.5,6.2,0.41,1,7
386,Coffee BioResin Blend,12.3,4.7,1.21,1,8
387,Hybrid Starch Plastic Recycled Large,10.6,4.4,0.38,1,7
388,Corn Bagasse Blend Composite Large,16.0,6.3,0.54,1,6
389,Leaf Husk Biopolymer Premium Pack,21.7,10.9,0.96,1,6
390,Sugar Palm Fiber HeavyDuty Small,25.0,9.2,0.9,1,9
391,Mango Seed Polymer Standard Pack,53.5,3.3,1.12,1,6
392,Husk BioBoard Industrial,12.2,7.7,0.41,1,7
393,Bio-EVA Composite Medium,25.1,4.7,0.32,1,7
394,Aluminum Can Recycled Sheet,100.4,10.4,1.24,1,8
395,Palm Fiber Polymer Blend Medium,18.3,7.7,0.71,1,8
396,Sisal Fiber HeavyDuty Sheet,24.4,8.3,0.46,1,8
397,Pineapple Leaf Fiber Consumer Pack,25.4,5.8,0.59,1,7
398,Hybrid Starch Plastic HeavyDuty Pack,27.0,5.6,0.54,1,8
399,Coffee BioResin Industrial Pack,18.5,7.4,0.82,1,7
400,Palm Fiber Polymer Composite Small,25.7,6.9,0.4,1,6
401,Leaf Fiber Biocomp Lightweight Medium,8.9,4.2,0.7,1,5
